word,nature
comme,CON
faire,VER
cette,ADJ
quand,CON
alors,ADV
votre,ADJ
aussi,ADV
encore,ADV
jamais,ADV
temps,NOM
chose,NOM
toujours,ADV
pourquoi,ADV
notre,ADJ
maintenant,ADV
homme,NOM
monde,NOM
quelque,ADJ
femme,NOM
vraiment,ADV
autre,ADJ
comment,ADV
après,PRE
aller,VER
avoir,AUX
petit,ADJ
parler,VER
voilà,PRE
besoin,NOM
beaucoup,ADV
mieux,ADV
moins,ADV
fille,NOM
accord,NOM
avant,PRE
pourquoi,CON
autre,PRO
maison,NOM
entre,PRE
comme,ADV
depuis,PRE
personne,PRO
juste,ADJ
monsieur,NOM
elles,PRO
trois,ADJ
moment,NOM
quelques,ADJ
quelqu'un,PRO
leurs,ADJ
comment,CON
prendre,VER
amour,NOM
heure,NOM
quelle,ADJ
assez,ADV
argent,NOM
contre,PRE
maman,NOM
grand,ADJ
bonjour,NOM
porte,NOM
devant,PRE
ouais,ADV
raison,NOM
savoir,VER
pendant,PRE
place,NOM
voiture,NOM
demain,ADV
avoir,VER
corps,NOM
passer,VER
chaque,ADJ
terre,NOM
enfin,ADV
travail,NOM
famille,NOM
enfant,NOM
seulement,ADV
partir,VER
venir,VER
longtemps,ADV
chambre,NOM
matin,NOM
jeune,ADJ
combien,ADV
ainsi,ADV
histoire,NOM
aujourd'hui,ADV
autres,PRO
ville,NOM
chercher,VER
trouver,VER
problème,NOM
cœur,NOM
presque,ADV
question,NOM
celui,PRO
suite,NOM
merci,NOM
aider,VER
chance,NOM
peine,NOM
mettre,VER
frère,NOM
guerre,NOM
train,NOM
rester,VER
visage,NOM
sortir,VER
plutôt,ADV
madame,NOM
façon,NOM
donner,VER
laisser,VER
envie,NOM
voici,PRE
ensemble,ADV
instant,NOM
point,NOM
vieux,ADJ
police,NOM
vivre,VER
cause,NOM
juste,ADV
salut,NOM
putain,NOM
ailleurs,ADV
mourir,VER
genre,NOM
parfois,ADV
surtout,ADV
aucune,ADJ
possible,ADJ
quatre,ADJ
celle,PRO
jouer,VER
soleil,NOM
pourtant,ADV
avant,ADV
affaire,NOM
table,NOM
garçon,NOM
plaisir,NOM
revoir,NOM
derrière,PRE
reste,NOM
souvent,ADV
route,NOM
croire,VER
manger,VER
autant,ADV
partie,NOM
bientôt,ADV
doute,NOM
tellement,ADV
autour,ADV
aucun,ADJ
premier,ADJ
docteur,NOM
personne,NOM
après,ADV
silence,NOM
école,NOM
demander,VER
d'abord,ADV
vérité,NOM
endroit,NOM
attendre,VER
tomber,VER
droit,NOM
semaine,NOM
verre,NOM
nouveau,ADJ
merde,NOM
journée,NOM
lumière,NOM
dehors,ADV
sorte,NOM
compte,NOM
partout,ADV
général,NOM
cours,NOM
arriver,VER
regard,NOM
appeler,VER
musique,NOM
pauvre,ADJ
esprit,NOM
ordre,NOM
bureau,NOM
bouche,NOM
penser,VER
regarder,VER
entendre,VER
arrêter,VER
heureux,ADJ
nouvelle,ADJ
chien,NOM
force,NOM
attention,NOM
rendre,VER
toute,ADJ
boulot,NOM
entrer,VER
retour,NOM
sœur,NOM
chemin,NOM
ensuite,ADV
dernier,ADJ
salle,NOM
comprendre,VER
sinon,CON
service,NOM
confiance,NOM
dormir,VER
pièce,NOM
rentrer,VER
depuis,ADV
faute,NOM
téléphone,NOM
nouveau,NOM
facile,ADJ
désolé,ADJ
propre,ADJ
capitaine,NOM
année,NOM
mariage,NOM
important,ADJ
d'autres,ADJ
mauvais,ADJ
boire,VER
numéro,NOM
milieu,NOM
pouvoir,VER
exactement,ADV
bruit,NOM
vieux,NOM
travers,NOM
livre,NOM
chacun,PRO
simple,ADJ
effet,NOM
difficile,ADJ
oncle,NOM
plein,ADJ
maître,NOM
travailler,VER
drôle,ADJ
malade,ADJ
perdre,VER
hôtel,NOM
lettre,NOM
payer,VER
rouge,ADJ
montrer,VER
changer,VER
petit,NOM
libre,ADJ
prison,NOM
minute,NOM
début,NOM
seigneur,NOM
bonsoir,NOM
grave,ADJ
debout,ADV
sûrement,ADV
honneur,NOM
fenêtre,NOM
président,NOM
patron,NOM
plusieurs,ADJ
espèce,NOM
gueule,NOM
propos,NOM
doucement,ADV
voyage,NOM
impossible,ADJ
tirer,VER
retrouver,VER
essayer,VER
impression,NOM
rapport,NOM
super,ADJ
laquelle,PRO
garder,VER
bonheur,NOM
intérieur,NOM
parmi,PRE
habitude,NOM
lorsque,CON
gentil,ADJ
sujet,NOM
simplement,ADV
forme,NOM
devenir,VER
exemple,NOM
hôpital,NOM
armée,NOM
peuple,NOM
photo,NOM
situation,NOM
retard,NOM
cuisine,NOM
village,NOM
tenir,VER
complètement,ADV
froid,ADJ
honte,NOM
scène,NOM
acheter,VER
revenir,VER
médecin,NOM
courant,NOM
malgré,PRE
écrire,VER
tranquille,ADJ
cheval,NOM
content,ADJ
dessus,ADV
premier,NOM
choix,NOM
gauche,NOM
bizarre,ADJ
apprendre,VER
bateau,NOM
selon,PRE
triste,ADJ
journal,NOM
monter,VER
clair,ADJ
présent,NOM
connaître,VER
époque,NOM
groupe,NOM
pouvoir,NOM
aimer,VER
sécurité,NOM
sourire,NOM
ombre,NOM
équipe,NOM
calme,NOM
quitter,VER
finir,VER
pareil,ADJ
blanc,ADJ
avenir,NOM
avion,NOM
papier,NOM
jardin,NOM
expliquer,VER
signe,NOM
odeur,NOM
lequel,PRO
visite,NOM
carte,NOM
mille,ADJ
tante,NOM
départ,NOM
marcher,VER
occuper,VER
grâce,PRE
gagner,VER
puisque,CON
soudain,ADV
contraire,NOM
colonel,NOM
ouvrir,VER
soirée,NOM
oublier,VER
liberté,NOM
manière,NOM
église,NOM
d'autres,PRO
boîte,NOM
garde,NOM
sauver,VER
absolument,ADV
réponse,NOM
erreur,NOM
ligne,NOM
gouvernement,NOM
passé,NOM
foutre,VER
porter,VER
accident,NOM
quelque,ADV
génial,ADJ
passé,ADJ
geste,NOM
couleur,NOM
droite,NOM
meilleur,ADJ
secret,NOM
certain,ADJ
classe,NOM
derrière,ADV
plein,PRE
message,NOM
front,NOM
santé,NOM
professeur,NOM
dîner,NOM
cadeau,NOM
ventre,NOM
compagnie,NOM
colère,NOM
coucher,VER
suivre,VER
commencer,VER
terrible,ADJ
diable,NOM
étrange,ADJ
appartement,NOM
moitié,NOM
normal,ADJ
beauté,NOM
parole,NOM
grand,NOM
présence,NOM
image,NOM
servir,VER
langue,NOM
poser,VER
surprise,NOM
mémoire,NOM
poste,NOM
français,NOM
appel,NOM
passage,NOM
aussitôt,ADV
certains,ADJ
telle,ADJ
bordel,NOM
répondre,VER
vingt,ADJ
nature,NOM
hasard,NOM
lieutenant,NOM
courage,NOM
retourner,VER
seconde,NOM
enfer,NOM
pitié,NOM
moindre,ADJ
mademoiselle,NOM
lentement,ADV
douleur,NOM
rencontrer,VER
battre,VER
avance,NOM
français,ADJ
continuer,VER
agent,NOM
dimanche,NOM
espoir,NOM
sérieux,ADJ
avocat,NOM
occasion,NOM
marché,NOM
